,"	Regional Hospital ",Facility_Name,"	Distance to Reg Hosp ",Maina...Facility.name,Fac.NAME,Admin1,Facility.name,Facility.type,Ownership,LL.source,Lat,Long,FacLong,FacLat,Source,geometry...longitude,geometry.latitude,UnitId,UnitType,UnitTypeName,TypeMainaOverGhana,FacilitySwitch,MainaSwitch,NewFacilityTypes,UnitTypeNaFac,LvlId,Region,CODE,NAME,COMMENT,CODE_1,NAME_1,NEAR_FID,NEAR_DIST,Facility_Name,Longitude,Latitude,geometry,Region,District,Town,facilityID,Xpert,dummy
31,REGIONAL HOSPITA KOFORIDUA,Akwapim South Hospital,0.292445,NA,Akwapim South Hospital,NA,NA,NA,NA,NA,NA,NA,-0.36002,5.82287,fac,c(-0.360020000221024,5.82286999971086),GHH02120,1,Hospital and Teaching Hospital,Hospital and Teaching Hospital,Hospital,NA,Hospital,Hospital and Teaching Hospital,GHP004002000000000000,GHP004,2120,Akwapim South Hospital,Adoagire,15,Akwapim South,-1,-1,Akwapim South Hospital,-0.36002,5.82287,c(-0.360020000221024  5.82286999971086),EASTERN,NSAWAM ADOAGYIRE MUNICIPAL,,358,no,0
33,Ridge Hospital,Amoah Memorial Hospital,0.0929896,NA,Amoah Memorial Hospital,NA,NA,NA,NA,NA,NA,NA,-0.28732,5.59055,fac,c(-0.287320000047413,5.59054999996876),GHH00903,1,Hospital and Teaching Hospital,Hospital and Teaching Hospital,Hospital,NA,Hospital,Hospital and Teaching Hospital,GHP005005000000000000,GHP005,903,Amoah Memorial Hospital,Awoshie (last stop),2,Accra,-1,-1,Amoah Memorial Hospital,-0.28732,5.59055,c(-0.287320000047413  5.59054999996876),GREATER ACCRA,GA CENTRAL MUNICIPAL,,4,no,0
39,REGIONAL HOSPITA KOFORIDUA,Asamankese Government District Hospital,0.486267,Asamankese Government District Hospital,NA,Eastern,Asamankese Government District Hospital,District Hospital,MoH,GPS,5.85455,-0.67891,NA,NA,maina,c(NA,NA),NA,NA,Hospital and Teaching Hospital,District Hospital,NA,Hospital,District Hospital,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Asamankese Government District Hospital,-0.67891,5.85455,c(-0.67891 5.85455),EASTERN,WEST AKIM MUNICIPAL,Blue Diamond,271,no,0
41,Ridge Hospital,Asare Odei Hospital,0.0839043,NA,Asare Odei Hospital,NA,NA,NA,NA,NA,NA,NA,-0.16868,5.64073,fac,c(-0.168679999937034,5.64072999980857),GHH00874,1,Hospital and Teaching Hospital,Hospital and Teaching Hospital,Hospital,NA,Hospital,Hospital and Teaching Hospital,GHP000000000000000000,GHP000,874,Asare Odei Hospital,East Legon,2,Accra,-1,-1,Asare Odei Hospital,-0.16868,5.64073,c(-0.168679999937034  5.64072999980857),GREATER ACCRA,ACCRA METROPOLIS,,23,no,0
42,REGIONAL HOSPITA KOFORIDUA,Asesewa Hospital,0.324261,Asesewa Hospital,ASESEWA HOSPITAL,Eastern,Asesewa Hospital,Hospital,MoH,GPS,6.40154,-0.14682,-0.14682,6.40154,both,c(-0.146819999656229,6.40153999983149),GHH02276,1,Hospital and Teaching Hospital,Hospital and Teaching Hospital,Hospital,Hospital,District Hospital,Hospital and Teaching Hospital,GHP004001000000000000,GHP004,2276,ASESEWA HOSPITAL,ASESEWA,89,Manya Krobo,-1,-1,Asesewa Hospital,-0.14682,6.40154,c(-0.146819999656229  6.40153999983149),EASTERN,UPPER MANYA KROBO,Asesewa,1322,no,0
47,REGIONAL HOSPITA KOFORIDUA,Atua Government District Hospital,0.249923,Atua Government District Hospital,ATUA GOVERNMENT HOSPITAL,Eastern,Atua Government District Hospital,District Hospital,MoH,GPS,6.119267,-1.93E-03,-0.00829,6.11923,both,c(-0.0082900001915412,6.11923000028884),GHH02280,1,Hospital and Teaching Hospital,District Hospital,Hospital,Hospital,District Hospital,Hospital and Teaching Hospital,GHP004001000000000000,GHP004,2280,ATUA GOVERNMENT HOSPITAL,ATUA,137,Yilo Krobo,-1,-1,Atua Government District Hospital,-0.00829,6.11923,c(-0.0082900001915412  6.11923000028884),EASTERN,LOWER MANYA KROBO,,282,no,0
51,Ridge Hospital,Bart-Plange Memorial Clinic,0.0263525,NA,Bart-Plange Memorial Clinic,NA,NA,NA,NA,NA,NA,NA,-0.22199,5.55005,fac,c(-0.221990000348554,5.55005000006985),GHH00791,1,Hospital and Teaching Hospital,Hospital and Teaching Hospital,Hospital,NA,Hospital,Hospital and Teaching Hospital,GHP000000000000000000,GHP000,791,Bart-Plange Memorial Clinic,Agbogbloshie,2,Accra,-1,-1,Bart-Plange Memorial Clinic,-0.22199,5.55005,c(-0.221990000348554  5.55005000006985),GREATER ACCRA,ACCRA METROPOLIS,,63,no,0
55,REGIONAL HOSPITA KOFORIDUA,Begoro District Hospital,0.321503,Begoro District Hospital,NA,Eastern,Begoro District Hospital,District Hospital,MoH,GPS,6.39813,-0.36885,NA,NA,maina,c(NA,NA),NA,NA,Hospital and Teaching Hospital,District Hospital,NA,Hospital,District Hospital,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Begoro District Hospital,-0.36885,6.39813,c(-0.36885 6.39813),EASTERN,FANTEAKWA NORTH,Begoro North,394,no,0
57,Ridge Hospital,Bengali Hospital,0.207192,NA,Bengali Hospital,NA,NA,NA,NA,NA,NA,NA,-0.02051,5.6681,fac,c(-0.0205100003937233,5.66810000032721),GHH01010,1,Hospital and Teaching Hospital,Hospital and Teaching Hospital,Hospital,NA,Hospital,Hospital and Teaching Hospital,GHP005003000000000000,GHP005,1010,Bengali Hospital,Tema Community 11,124,Tema,-1,-1,Bengali Hospital,-0.02051,5.6681,c(-0.0205100003937233  5.66810000032721),GREATER ACCRA,TEMA METROPOLITAN,,540,no,0
59,Ridge Hospital,Bennette Memorial Clinic 2,0.111281,NA,Bennette Memorial Clinic,NA,NA,NA,NA,NA,NA,NA,-0.15996,5.6667,fac,c(-0.159959999575166,5.66669999964059),GHH00809,1,Hospital and Teaching Hospital,Hospital and Teaching Hospital,Hospital,NA,Hospital,Hospital and Teaching Hospital,GHP005006000000000000,GHP005,809,Bennette Memorial Clinic,Madina,2,Accra,-1,-1,Bennette Memorial Clinic 2,-0.15996,5.6667,c(-0.159959999575166  5.66669999964059),GREATER ACCRA,LA-NKWANTANANG-MADINA,,59,no,0
65,Ridge Hospital,Blessings Clinic,0.0499597,NA,Blessings Clinic,NA,NA,NA,NA,NA,NA,NA,-0.2325,5.59917,fac,c(-0.23249999991522,5.59917000033392),GHH00934,1,Hospital and Teaching Hospital,Hospital and Teaching Hospital,Hospital,NA,Hospital,Hospital and Teaching Hospital,GHP000000000000000000,GHP000,934,Blessings Clinic,Tesano,2,Accra,-1,-1,Blessings Clinic,-0.2325,5.59917,c(-0.23249999991522  5.59917000033392),GREATER ACCRA,ACCRA METROPOLIS,,7,no,0
70,Ridge Hospital,Bukom Ellphkwei Hospital,0.219509,NA,Bukom Ellphkwei Hospital,NA,NA,NA,NA,NA,NA,NA,-0.02201,5.69263,fac,c(-0.02201000006864,5.69263000024974),GHH01048,1,Hospital and Teaching Hospital,Hospital and Teaching Hospital,Hospital,NA,Hospital,Hospital and Teaching Hospital,GHP005003000000000000,GHP005,1048,Bukom Ellphkwei Hospital,Ashaiman,124,Tema,-1,-1,Bukom Ellphkwei Hospital,-0.02201,5.69263,c(-0.02201000006864  5.69263000024974),GREATER ACCRA,ASHAIMAN MUNICIPAL,,535,no,0
74,Ridge Hospital,Christian Medical Centre,0.128823,Christian Medical Centre,Christian Medical Centre,Greater Accra,Christian Medical Centre,Hospital,FBO,GPS,5.60656,-7.77E-02,-0.07769,5.60656,both,c(-0.077689999643121,5.60656000030139),GHH00963,1,Hospital and Teaching Hospital,Hospital and Teaching Hospital,Hospital,Hospital,Hospital,Hospital and Teaching Hospital,GHP000000000000000000,GHP000,963,Christian Medical Centre,Nungua,124,Tema,-1,-1,Christian Medical Centre,-0.07769,5.60656,c(-0.077689999643121  5.60656000030139),GREATER ACCRA,LEDZOKUKU MUNICIPAL,,544,no,0
80,Ridge Hospital,Complex Hosp.,0.285429,NA,Complex Hosp.,NA,NA,NA,NA,NA,NA,NA,-0.34604,5.80684,fac,c(-0.346040000052946,5.80684000036988),GHH02124,1,Hospital and Teaching Hospital,Hospital and Teaching Hospital,Hospital,NA,Hospital,Hospital and Teaching Hospital,GHP004002000000000000,GHP004,2124,Complex Hosp.,Nsawam,15,Akwapim South,-1,-1,Complex Hosp.,-0.34604,5.80684,c(-0.346040000052946  5.80684000036988),EASTERN,NSAWAM ADOAGYIRE MUNICIPAL,,355,no,0
83,Ridge Hospital,Darben Clinic,0.202571,NA,Darben Clinic,NA,NA,NA,NA,NA,NA,NA,-0.03603,5.6831,fac,c(-0.0360300004196737,5.68310000042858),GHH01054,1,Hospital and Teaching Hospital,Hospital and Teaching Hospital,Hospital,NA,Hospital,Hospital and Teaching Hospital,GHP005003000000000000,GHP005,1054,Darben Clinic,Ashaiman,124,Tema,-1,-1,Darben Clinic,-0.03603,5.6831,c(-0.0360300004196737  5.68310000042858),GREATER ACCRA,ASHAIMAN MUNICIPAL,,537,no,0
84,Ridge Hospital,Deseret Hospital,0.0922497,NA,Deseret Hospital,NA,NA,NA,NA,NA,NA,NA,-0.27876,5.60821,fac,c(-0.278760000417434,5.60821000016505),GHH00909,1,Hospital and Teaching Hospital,Hospital and Teaching Hospital,Hospital,NA,Hospital,Hospital and Teaching Hospital,GHP005005000000000000,GHP005,909,Deseret Hospital,Antiaku (near north kwashieman),2,Accra,-1,-1,Deseret Hospital,-0.27876,5.60821,c(-0.278760000417434  5.60821000016505),GREATER ACCRA,GA CENTRAL MUNICIPAL,,17,no,0
95,Ridge Hospital,East Legon Clinic,0.0715605,NA,East Legon Clinic,NA,NA,NA,NA,NA,NA,NA,-0.17534,5.63002,fac,c(-0.175339999859037,5.63002000010957),GHH00879,1,Hospital and Teaching Hospital,Hospital and Teaching Hospital,Hospital,NA,Hospital,Hospital and Teaching Hospital,GHP000000000000000000,GHP000,879,East Legon Clinic,East Legon,2,Accra,-1,-1,East Legon Clinic,-0.17534,5.63002,c(-0.175339999859037  5.63002000010957),GREATER ACCRA,ACCRA METROPOLIS,,129,no,0
96,Ridge Hospital,Eden Specialist Hospital,0.0343882,NA,Eden Specialist Hospital,NA,NA,NA,NA,NA,NA,NA,-0.22805,5.5803,fac,c(-0.228050000220917,5.58029999990741),GHH00941,1,Hospital and Teaching Hospital,Hospital and Teaching Hospital,Hospital,NA,Hospital,Hospital and Teaching Hospital,GHP000000000000000000,GHP000,941,Eden Specialist Hospital,North Kaneshie,2,Accra,-1,-1,Eden Specialist Hospital,-0.22805,5.5803,c(-0.228050000220917  5.58029999990741),GREATER ACCRA,ACCRA METROPOLIS,,31,no,0
103,REGIONAL HOSPITA KOFORIDUA,Enyiresi District Hospital,0.473968,Enyiresi District Hospital,ENYIRESI HOSPITAL,Eastern,Enyiresi District Hospital,District Hospital,MoH,GPS,6.43727,-0.58676,-0.58676,6.43727,both,c(-0.586759999839553,6.43727000014634),GHH02218,1,Hospital and Teaching Hospital,District Hospital,Hospital,Hospital,District Hospital,Hospital and Teaching Hospital,GHP004017000000000000,GHP004,2218,ENYIRESI HOSPITAL,ENYIRESI,32,Atiwa,-1,-1,Enyiresi District Hospital,-0.58676,6.43727,c(-0.586759999839553  6.43727000014634),EASTERN,ATIWA EAST,,1390,no,0
109,Ridge Hospital,Faith Medical Centre,0.0419361,NA,Faith Medical Centre,NA,NA,NA,NA,NA,NA,NA,-0.21767,5.59978,fac,c(-0.217670000350609,5.59977999975196),GHH00850,1,Hospital and Teaching Hospital,Hospital and Teaching Hospital,Hospital,NA,Hospital,Hospital and Teaching Hospital,GHP000000000000000000,GHP000,850,Faith Medical Centre,Alajo (near T junction),2,Accra,-1,-1,Faith Medical Centre,-0.21767,5.59978,c(-0.217670000350609  5.59977999975196),GREATER ACCRA,ACCRA METROPOLIS,,50,no,0
115,Ridge Hospital,Gak Clinic,0.0248252,NA,Gak Clinic,NA,NA,NA,NA,NA,NA,NA,-0.174,5.55989,fac,c(-0.174000000017711,5.55988999988681),GHH00960,1,Hospital and Teaching Hospital,Hospital and Teaching Hospital,Hospital,NA,Hospital,Hospital and Teaching Hospital,GHP000000000000000000,GHP000,960,Gak Clinic,Osu (Nyaniba Estate),2,Accra,-1,-1,Gak Clinic,-0.174,5.55989,c(-0.174000000017711  5.55988999988681),GREATER ACCRA,LA DADE-KOTOPON,,110,no,0
116,REGIONAL HOSPITA KOFORIDUA,GCD Hospital,0.553731,NA,GCD Hospital,NA,NA,NA,NA,NA,NA,NA,-0.80719,6.03247,fac,c(-0.807190000238757,6.03247000028967),GHH02260,1,Hospital and Teaching Hospital,Hospital and Teaching Hospital,Hospital,NA,Hospital,Hospital and Teaching Hospital,GHP004012000000000000,GHP004,2260,GCD Hospital,Akwatia,85,Kwaebibirim,-1,-1,GCD Hospital,-0.80719,6.03247,c(-0.807190000238757  6.03247000028967),EASTERN,DENKYEMBOUR,,410,no,0
120,Ridge Hospital,Gloria Family Health Centre,0.136977,NA,Gloria Family Health Centre,NA,NA,NA,NA,NA,NA,NA,-0.17367,5.69705,fac,c(-0.173670000304807,5.69705000012647),GHH00802,1,Hospital and Teaching Hospital,Hospital and Teaching Hospital,Hospital,NA,Hospital,Hospital and Teaching Hospital,GHP005003000000000000,GHP005,802,Gloria Family Health Centre,Adenta,124,Tema,-1,-1,Gloria Family Health Centre,-0.17367,5.69705,c(-0.173670000304807  5.69705000012647),GREATER ACCRA,LA-NKWANTANANG-MADINA,,546,no,0
123,Ridge Hospital,Greater Grace Hospital,0.158181,NA,Greater Grace Hospital,NA,NA,NA,NA,NA,NA,NA,-0.17425,5.71866,fac,c(-0.174250000262968,5.7186600000367),GHH00742,1,Hospital and Teaching Hospital,Hospital and Teaching Hospital,Hospital,NA,Hospital,Hospital and Teaching Hospital,GHP005006000000000000,GHP005,742,Greater Grace Hospital,Pantang (hosp road),60,Ga East,-1,-1,Greater Grace Hospital,-0.17425,5.71866,c(-0.174250000262968  5.7186600000367),GREATER ACCRA,LA-NKWANTANANG-MADINA,,639,no,0
148,Ridge Hospital,Johpat Hospital,0.0491388,NA,Johpat Hospital,NA,NA,NA,NA,NA,NA,NA,-0.19963,5.61151,fac,c(-0.199629999577235,5.61151000019743),GHH00856,1,Hospital and Teaching Hospital,Hospital and Teaching Hospital,Hospital,NA,Hospital,Hospital and Teaching Hospital,GHP000000000000000000,GHP000,856,Johpat Hospital,Dzorwulu,2,Accra,-1,-1,Johpat Hospital,-0.19963,5.61151,c(-0.199629999577235  5.61151000019743),GREATER ACCRA,ACCRA METROPOLIS,,42,no,0
152,Ridge Hospital,Jubail Specialist Hospital,0.159552,NA,Jubail Specialist Hospital,NA,NA,NA,NA,NA,NA,NA,-0.05216,5.62549,fac,c(-0.0521599996426886,5.62548999989447),GHH01066,1,Hospital and Teaching Hospital,Hospital and Teaching Hospital,Hospital,NA,Hospital,Hospital and Teaching Hospital,GHP005003000000000000,GHP005,1066,Jubail Specialist Hospital,Sakumano Estate,124,Tema,-1,-1,Jubail Specialist Hospital,-0.0519551,5.62569,c(-0.0521599996426886  5.62548999989447),GREATER ACCRA,TEMA WEST MUNICIPAL,Ogbodzo,542,no,0
154,Ridge Hospital,Kaneshie Polyclinic,0.0342417,Kaneshie Polyclinic,Kaneshie Polyclinic,Greater Accra,Kaneshie Polyclinic,Polyclinic,MoH,GPS,5.57446,-0.23074,-0.23074,5.57446,both,c(-0.230739999949324,5.57445999960556),GHH00892,3,Clinic,Clinic,Clinic,Hospital,Hospital,Clinic,GHP000000000000000000,GHP000,892,Kaneshie Polyclinic,Kaneshie,2,Accra,-1,-1,Kaneshie Polyclinic,-0.23074,5.57446,c(-0.230739999949324  5.57445999960556),GREATER ACCRA,ACCRA METROPOLIS,,126,no,0
155,Ridge Hospital,Karikari Brobbery Hospital,0.0702304,NA,Karikari Brobbery Hospital,NA,NA,NA,NA,NA,NA,NA,-0.26149,5.53092,fac,c(-0.261489999573012,5.53092000011052),GHH00699,1,Hospital and Teaching Hospital,Hospital and Teaching Hospital,Hospital,NA,Hospital,Hospital and Teaching Hospital,GHP000000000000000000,GHP000,699,Karikari Brobbery Hospital,Agege (Agege road -Karikari area),2,Accra,-1,-1,Karikari Brobbery Hospital,-0.26149,5.53092,c(-0.261489999573012  5.53092000011052),GREATER ACCRA,ACCRA METROPOLIS,,2,no,0
157,Ridge Hospital,King David Hospital,0.0312269,NA,King David Hospital,NA,NA,NA,NA,NA,NA,NA,-0.20588,5.59277,fac,c(-0.20588000031872,5.59276999966995),GHH00848,1,Hospital and Teaching Hospital,Hospital and Teaching Hospital,Hospital,NA,Hospital,Hospital and Teaching Hospital,GHP000000000000000000,GHP000,848,King David Hospital,Kotobabi,2,Accra,-1,-1,King David Hospital,-0.20588,5.59277,c(-0.20588000031872  5.59276999966995),GREATER ACCRA,ACCRA METROPOLIS,,51,no,0
165,Ridge Hospital,Kumorji Hospital,0.0199431,NA,Kumorji Hospital,NA,NA,NA,NA,NA,NA,NA,-0.18263,5.57419,fac,c(-0.182629999967879,5.57419000025895),GHH00956,1,Hospital and Teaching Hospital,Hospital and Teaching Hospital,Hospital,NA,Hospital,Hospital and Teaching Hospital,GHP000000000000000000,GHP000,956,Kumorji Hospital,Cantoments,2,Accra,-1,-1,Kumorji Hospital,-0.18263,5.57419,c(-0.182629999967879  5.57419000025895),GREATER ACCRA,LA DADE-KOTOPON,,38,no,0
168,REGIONAL HOSPITA KOFORIDUA,Kwahu South Hospital,0.679926,NA,Kwahu South Hospital,NA,NA,NA,NA,NA,NA,NA,-0.73417,6.58119,fac,c(-0.734170000397963,6.58119000032434),GHH02099,1,Hospital and Teaching Hospital,Hospital and Teaching Hospital,Hospital,NA,District Hospital,Hospital and Teaching Hospital,GHP004009000000000000,GHP004,2099,Kwahu South Hospital,Atibie,86,Kwahu South,-1,-1,Kwahu South Hospital,-0.73417,6.58119,c(-0.734170000397963  6.58119000032434),EASTERN,KWAHU SOUTH,,1414,no,0
170,REGIONAL HOSPITA KOFORIDUA,Kwahu West Hospital,0.654899,NA,Kwahu West Hospital,NA,NA,NA,NA,NA,NA,NA,-0.76662,6.50819,fac,c(-0.766619999713081,6.50818999970373),GHH02118,1,Hospital and Teaching Hospital,Hospital and Teaching Hospital,Hospital,NA,Hospital,Hospital and Teaching Hospital,GHP004016000000000000,GHP004,2118,Kwahu West Hospital,Domiabra,87,Kwahu West,-1,-1,Kwahu West Hospital,-0.76662,6.50819,c(-0.766619999713081  6.50818999970373),EASTERN,KWAHU WEST MUNICIPAL,,1435,no,0
171,REGIONAL HOSPITA KOFORIDUA,Holy Family District Hospital,0.639518,Holy Family District Hospital,Kwahu West Hospital,Eastern,Holy Family District Hospital,District Hospital,FBO,GPS,6.47555,-0.77237,-0.77237,6.47555,both,c(-0.772369999964051,6.47554999982718),GHH02109,1,Hospital and Teaching Hospital,District Hospital,Hospital,Hospital,District Hospital,Hospital and Teaching Hospital,GHP004016000000000000,GHP004,2109,Kwahu West Hospital,Nkawkaw,87,Kwahu West,-1,-1,Holy Family District Hospital,-0.77237,6.47555,c(-0.772369999964051  6.47554999982718),EASTERN,KWAHU WEST MUNICIPAL,Nkawkaw Central,1434,no,0
174,REGIONAL HOSPITA KOFORIDUA,Kyebi Government District Hospital,0.305657,Kyebi Government District Hospital,KYEBI GOVT HOSP,Eastern,Kyebi Government District Hospital,District Hospital,MoH,GPS,6.16775,-0.55446,-0.55446,6.16775,both,c(-0.55446000031227,6.16774999979392),GHH02241,1,Hospital and Teaching Hospital,District Hospital,Hospital,Hospital,District Hospital,Hospital and Teaching Hospital,GHP004013000000000000,GHP004,2241,KYEBI GOVT HOSP,KYEBI,54,East Akim,-1,-1,Kyebi Government District Hospital,-0.55446,6.16775,c(-0.55446000031227  6.16774999979392),EASTERN,ABUAKWA SOUTH MUNICIPAL,Kibi,1404,no,0
175,Ridge Hospital,La General Hospital,0.0328837,La General Hospital,La General Hospital,Greater Accra,La General Hospital,General Hospital,MoH,Combination,5.5554,-0.1666,-0.16657,5.55538,both,c(-0.166570000166755,5.5553800003306),GHH00965,1,Hospital and Teaching Hospital,General Hospital,Hospital,Hospital,District Hospital,Hospital and Teaching Hospital,GHP000000000000000000,GHP000,965,La General Hospital,La,2,Accra,-1,-1,La General Hospital,-0.16657,5.55538,c(-0.166570000166755  5.5553800003306),GREATER ACCRA,LA DADE-KOTOPON,labadi,35,no,0
177,Ridge Hospital,Lapaz Community Clinic,0.0716236,NA,Lapaz Community Clinic,NA,NA,NA,NA,NA,NA,NA,-0.25349,5.60851,fac,c(-0.253489999809684,5.60851000037046),GHH00924,1,Hospital and Teaching Hospital,Hospital and Teaching Hospital,Hospital,NA,Hospital,Hospital and Teaching Hospital,GHP000000000000000000,GHP000,924,Lapaz Community Clinic,Abaka Lapas,2,Accra,-1,-1,Lapaz Community Clinic,-0.25349,5.60851,c(-0.253489999809684  5.60851000037046),GREATER ACCRA,ACCRA METROPOLIS,,9,no,0
180,Ridge Hospital,Link Road Hospital,0.044168,NA,Link Road Hospital,NA,NA,NA,NA,NA,NA,NA,-0.24093,5.54944,fac,c(-0.240929999848875,5.54943999993742),GHH00831,1,Hospital and Teaching Hospital,Hospital and Teaching Hospital,Hospital,NA,Hospital,Hospital and Teaching Hospital,GHP000000000000000000,GHP000,831,Link Road Hospital,Lartebiokorshie,2,Accra,-1,-1,Link Road Hospital,-0.241077,5.54937,c(-0.240929999848875  5.54943999993742),GREATER ACCRA,ABLEKUMA CENTRAL MUNICIPAL,Laterbiokorshie/TCL,54,no,0
181,Ridge Hospital,Maamobi Polyclinic,0.0294659,Maamobi Polyclinic,Maamobi Polyclinic,Greater Accra,Maamobi Polyclinic,Polyclinic,MoH,GPS,5.59184,-0.19929,-0.19929,5.59184,both,c(-0.199289999818608,5.5918399998536),GHH00714,3,Clinic,Clinic,Clinic,Hospital,Hospital,Clinic,GHP000000000000000000,GHP000,714,Maamobi Polyclinic,Maamobi,2,Accra,-1,-1,Maamobi Polyclinic,-0.19929,5.59184,c(-0.199289999818608  5.5918399998536),GREATER ACCRA,ACCRA METROPOLIS,,173,no,0
185,Ridge Hospital,Mamprobi Polyclinic,0.0527903,Mamprobi Polyclinic,Mamprobi Polyclinic,Greater Accra,Mamprobi Polyclinic,Polyclinic,MoH,GPS,5.53807,-0.24556,-0.24556,5.53807,both,c(-0.245560000366544,5.53806999981063),GHH00703,3,Clinic,Clinic,Clinic,Hospital,Hospital,Clinic,GHP000000000000000000,GHP000,703,Mamprobi Polyclinic,Mamprobi,2,Accra,-1,-1,Mamprobi Polyclinic,-0.24556,5.53807,c(-0.245560000366544  5.53806999981063),GREATER ACCRA,ACCRA METROPOLIS,,165,no,0
188,Ridge Hospital,Manna Mission Hospital,0.100462,Manna Mission Hospital,Manna Mission Hospital,Greater Accra,Manna Mission Hospital,Hospital,FBO,GPS,5.60706,-0.10872,-0.10872,5.60706,both,c(-0.108719999649266,5.6070600001838),GHH00964,1,Hospital and Teaching Hospital,Hospital and Teaching Hospital,Hospital,Hospital,Hospital,Hospital and Teaching Hospital,GHP000000000000000000,GHP000,964,Manna Mission Hospital,Teshie,2,Accra,-1,-1,Manna Mission Hospital,-0.10872,5.60706,c(-0.108719999649266  5.6070600001838),GREATER ACCRA,LEDZOKUKU MUNICIPAL,,36,no,0
193,Ridge Hospital,May Fair Clinic,0.046609,NA,May Fair Clinic,NA,NA,NA,NA,NA,NA,NA,-0.24244,5.54628,fac,c(-0.242439999569514,5.5462800000131),GHH00687,1,Hospital and Teaching Hospital,Hospital and Teaching Hospital,Hospital,NA,Hospital,Hospital and Teaching Hospital,GHP000000000000000000,GHP000,687,May Fair Clinic,Lartebiokoshie,2,Accra,-1,-1,May Fair Clinic,-0.24244,5.54628,c(-0.242439999569514  5.5462800000131),GREATER ACCRA,ACCRA METROPOLIS,,3,no,0
194,Ridge Hospital,Medifem Hospital,0.0505741,NA,Medifem Hospital,NA,NA,NA,NA,NA,NA,NA,-0.20209,5.61284,fac,c(-0.202090000050192,5.61284000000811),GHH00854,1,Hospital and Teaching Hospital,Hospital and Teaching Hospital,Hospital,NA,Hospital,Hospital and Teaching Hospital,GHP000000000000000000,GHP000,854,Medifem Hospital,Dzorwulu,2,Accra,-1,-1,Medifem Hospital,-0.20209,5.61284,c(-0.202090000050192  5.61284000000811),GREATER ACCRA,ACCRA METROPOLIS,,49,no,0
195,Ridge Hospital,Megavest Medical Centre,0.0551042,NA,Megavest Medical Centre,NA,NA,NA,NA,NA,NA,NA,-0.24423,5.59342,fac,c(-0.244229999672643,5.59341999966378),GHH00938,1,Hospital and Teaching Hospital,Hospital and Teaching Hospital,Hospital,NA,Hospital,Hospital and Teaching Hospital,GHP000000000000000000,GHP000,938,Megavest Medical Centre,North Kaneshie,2,Accra,-1,-1,Megavest Medical Centre,-0.24423,5.59342,c(-0.244229999672643  5.59341999966378),GREATER ACCRA,ACCRA METROPOLIS,,5,no,0
196,Ridge Hospital,Mercy Clinic,0.0489781,NA,Mercy Clinic,NA,NA,NA,NA,NA,NA,NA,-0.24764,5.56431,fac,c(-0.247639999999589,5.56430999963793),GHH00707,1,Hospital and Teaching Hospital,Hospital and Teaching Hospital,Hospital,NA,Hospital,Hospital and Teaching Hospital,GHP000000000000000000,GHP000,707,Mercy Clinic,Mataheko,2,Accra,-1,-1,Mercy Clinic,-0.24764,5.56431,c(-0.247639999999589  5.56430999963793),GREATER ACCRA,ACCRA METROPOLIS,,1,no,0
199,Ridge Hospital,Midway Clinic Ltd,0.0615463,NA,Midway Clinic Ltd,NA,NA,NA,NA,NA,NA,NA,-0.22646,5.61731,fac,c(-0.226460000134335,5.61731000031628),GHH00920,1,Hospital and Teaching Hospital,Hospital and Teaching Hospital,Hospital,NA,Hospital,Hospital and Teaching Hospital,GHP000000000000000000,GHP000,920,Midway Clinic Ltd,Abofu (Achimota),2,Accra,-1,-1,Midway Clinic Ltd,-0.22646,5.61731,c(-0.226460000134335  5.61731000031628),GREATER ACCRA,ACCRA METROPOLIS,,13,no,0
204,Ridge Hospital,Modern Atomic Clinic,0.105478,NA,Modern Atomic Clinic,NA,NA,NA,NA,NA,NA,NA,-0.20819,5.66743,fac,c(-0.208190000105545,5.66743000005824),GHH00817,1,Hospital and Teaching Hospital,Hospital and Teaching Hospital,Hospital,NA,Hospital,Hospital and Teaching Hospital,GHP005006000000000000,GHP005,817,Modern Atomic Clinic,Atomic Road,2,Accra,-1,-1,Modern Atomic Clinic,-0.20819,5.66743,c(-0.208190000105545  5.66743000005824),GREATER ACCRA,GA EAST,,56,no,0
211,Ridge Hospital,Narh Bita Hospital,0.210959,NA,Narh Bita Hospital,NA,NA,NA,NA,NA,NA,NA,-0.01062,5.65793,fac,c(-0.0106200000698436,5.65792999995514),GHH01016,1,Hospital and Teaching Hospital,Hospital and Teaching Hospital,Hospital,NA,Hospital,Hospital and Teaching Hospital,GHP005003000000000000,GHP005,1016,Narh Bita Hospital,Tema Community 4,124,Tema,-1,-1,Narh Bita Hospital,-0.01062,5.65793,c(-0.0106200000698436  5.65792999995514),GREATER ACCRA,TEMA METROPOLITAN,,539,no,0
225,Ridge Hospital,North Legon Hospital,0.108104,NA,North Legon Hospital,NA,NA,NA,NA,NA,NA,NA,-0.18228,5.66923,fac,c(-0.182280000163497,5.66923000033997),GHH00795,1,Hospital and Teaching Hospital,Hospital and Teaching Hospital,Hospital,NA,Hospital,Hospital and Teaching Hospital,GHP005006000000000000,GHP005,795,North Legon Hospital,North Legon (off Atomic Energy Road),2,Accra,-1,-1,North Legon Hospital,-0.18228,5.66923,c(-0.182280000163497  5.66923000033997),GREATER ACCRA,LA-NKWANTANANG-MADINA,,60,no,0
